month,category,type,number
2017-12,Goods & Other Vehicles,CNG,3
2017-12,Goods & Other Vehicles,Electric,31
2017-12,Goods & Other Vehicles,Diesel-Electric,7
2017-12,Buses,Petrol,43
2017-12,Buses,Diesel,18753
2017-12,Buses,Petrol-CNG,1
2017-12,Buses,CNG,12
2017-12,Buses,Electric,2
2017-12,Buses,Diesel-Electric,3
2018-01,Cars,Petrol,572883
2018-01,Cars,Diesel,15572
2018-01,Cars,Petrol-Electric,20810
2018-01,Cars,Petrol-Electric (Plug-In),207
2018-01,Cars,Petrol-CNG,972
2018-01,Cars,CNG,0
2018-01,Cars,Electric,335
2018-01,Cars,Diesel-Electric,21
2018-01,Taxis,Petrol,112
2018-01,Taxis,Diesel,18625
2018-01,Taxis,Petrol-Electric,4154
2018-01,Taxis,Petrol-CNG,0
2018-01,Taxis,CNG,0
2018-01,Motor-cycles,Petrol,140771
2018-01,Motor-cycles,Electric,2
2018-01,Goods & Other Vehicles,Petrol,4961
2018-01,Goods & Other Vehicles,Diesel,137439
2018-01,Goods & Other Vehicles,Petrol-Electric,1
