month,make,number
2017-01,HYUNDAI,448
2017-01,INFINITI,1
2017-01,JAGUAR,32
2017-01,JEEP,4
2017-01,KIA,235
2017-01,LAMBORGHINI,7
2017-01,LAND ROVER,14
2017-01,LOTUS,1
2017-01,M.G.,1
2017-01,MASERATI,13
2017-01,MAZDA,336
2017-01,Mclaren,3
2017-01,MERCEDES BENZ,541
2017-01,MINI,56
2017-01,MITSUBISHI,579
2017-01,MORRIS,1
2017-01,NAZA,1
2017-01,NISSAN,621
2017-01,OPEL,29
2017-01,PERODUA,30
2017-01,PEUGEOT,73
2017-01,PORSCHE,75
2017-01,PROTON,40
2017-01,RENAULT,38
2017-01,ROLLS ROYCE,3
2017-01,SAAB,14
2017-01,SKODA,8
2017-01,SSANGYONG,9
2017-01,SUBARU,254
2017-01,SUZUKI,303
2017-01,TD CARS,1
2017-01,TOYOTA,2222
2017-01,TRIUMPH,1
2017-01,VOLKSWAGEN,372
2017-01,VOLVO,117
2017-02,ALFA ROMEO,10
2017-02,ASTON MARTIN,0
2017-02,AUDI,208
2017-02,AUSTIN,2
2017-02,B.M.W.,522
2017-02,BENTLEY,6
2017-02,CHANA,0
2017-02,CHERY,19
2017-02,CHEVROLET,145
2017-02,CHRYSLER,4
2017-02,CITROEN,44
2017-02,DAIHATSU,38
2017-02,DODGE,0
2017-02,DONGFENG,0
2017-02,FERRARI,12
2017-02,FIAT,39
2017-02,FORD,52
2017-02,FRAZER,1
2017-02,GEELY,16
2017-02,HAFEI,3
2017-02,HOLDEN,1
2017-02,HONDA,1487
2017-02,HUMMER,0
2017-02,HYUNDAI,391
2017-02,INFINITI,1
2017-02,JAGUAR,35
2017-02,JEEP,2
2017-02,KIA,260
2017-02,LAMBORGHINI,10
2017-02,LAND ROVER,18
2017-02,LOTUS,2
2017-02,M.G.,0
2017-02,MASERATI,27
2017-02,MAZDA,325
2017-02,Mclaren,4
2017-02,MERCEDES BENZ,514
2017-02,MINI,43
2017-02,MITSUBISHI,447
2017-02,MITSUOKA,1
2017-02,MORRIS,0
2017-02,NAZA,2
2017-02,NISSAN,509
2017-02,OPEL,19
2017-02,PERODUA,26
2017-02,PEUGEOT,71
2017-02,PORSCHE,51
2017-02,PROTON,35
2017-02,RENAULT,30
2017-02,ROLLS ROYCE,4
2017-02,SAAB,14
2017-02,SKODA,6
2017-02,SSANGYONG,2
2017-02,SUBARU,228
2017-02,SUZUKI,245
2017-02,TD CARS,0
2017-02,TOYOTA,1856
2017-02,TRIUMPH,0
2017-02,VOLKSWAGEN,372
2017-02,VOLVO,88
2017-03,ALFA ROMEO,21
2017-03,ASTON MARTIN,4
2017-03,AUDI,293
2017-03,AUSTIN,3
2017-03,B.M.W.,774
2017-03,BENTLEY,10
2017-03,CHANA,0
2017-03,CHERY,21
2017-03,CHEVROLET,133
2017-03,CHRYSLER,12
2017-03,CITROEN,51
2017-03,DAIHATSU,46
2017-03,DODGE,0
2017-03,DONGFENG,0
2017-03,FERRARI,11
2017-03,FIAT,58
2017-03,FORD,56
2017-03,FRAZER,0
2017-03,GEELY,18
2017-03,HAFEI,5
2017-03,HOLDEN,0
2017-03,HONDA,1962
2017-03,HUMMER,1
2017-03,HYUNDAI,461
2017-03,INFINITI,4
2017-03,JAGUAR,46
2017-03,JEEP,3
2017-03,KIA,269
2017-03,LAMBORGHINI,5
2017-03,LAND ROVER,31
2017-03,LOTUS,1
2017-03,M.G.,0
2017-03,MASERATI,19
2017-03,MAYBACH,1
2017-03,MAZDA,389
